i,episode_seed,ei,k,a_prev,a_int,identifiable,stuck,dplayer_y_fac_cf,dvec_l2_fac_cf,dplayer_y_fac_oth,pix_meanabs_fac_cf,pix_meanabs_fac_oth,identical_fac_cf
79,1013,13,118,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
80,1011,11,168,0,3,True,0,6.0,6.0,3.0,0.11267006802721088,0.03755668934240363,False
81,1006,6,167,0,3,True,0,6.0,6.0,3.0,0.11267006802721088,0.07539682539682539,False
82,1003,3,126,0,3,True,0,5.0,5.0,3.0,0.11238662131519274,0.07482993197278912,False
83,1006,6,221,0,3,True,0,6.0,6.0,3.0,0.11210317460317461,0.07482993197278912,False
84,1002,2,221,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
85,1005,5,57,0,3,True,0,5.0,5.0,2.0,0.11210317460317461,0.03713151927437642,False
86,1000,0,191,0,3,True,0,6.0,6.0,3.0,0.11238662131519274,0.07511337868480726,False
87,1011,11,188,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
88,1005,5,154,0,2,True,0,6.0,6.0,3.0,0.11210317460317461,0.07497165532879818,False
89,1008,8,97,0,2,True,0,6.0,6.0,3.0,0.11238662131519274,0.037698412698412696,False
90,1010,10,165,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
91,1009,9,215,0,2,True,0,6.0,6.0,3.0,0.11210317460317461,0.03713151927437642,False
92,1008,8,103,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
93,1005,5,240,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
94,1004,4,194,0,3,True,0,2.0,2.0,0.5,0.037698412698412696,0.0,False
95,1012,12,102,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
96,1001,1,203,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
97,1009,9,38,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
98,1007,7,145,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
99,1000,0,105,0,3,True,0,5.0,5.0,2.0,0.11238662131519274,0.03755668934240363,False
100,1004,4,104,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
101,1009,9,169,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
102,1008,8,88,0,2,True,0,5.0,5.0,2.0,0.07497165532879818,0.037698412698412696,False
103,1005,5,179,0,3,True,0,6.0,6.0,3.0,0.11295351473922903,0.07525510204081633,False
104,1007,7,147,0,2,True,0,5.0,5.0,2.0,0.11238662131519274,0.03755668934240363,False
105,1004,4,192,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
106,1006,6,125,0,3,True,0,6.0,6.0,3.0,0.11224489795918367,0.03713151927437642,False
107,1011,11,73,0,2,True,0,6.0,6.0,3.0,0.11295351473922903,0.07525510204081633,False
108,1012,12,212,0,3,True,0,6.0,6.0,3.0,0.11267006802721088,0.037698412698412696,False
109,1012,12,80,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
110,1001,1,98,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
111,1009,9,116,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
112,1011,11,67,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
113,1010,10,184,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
114,1005,5,244,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
115,1005,5,215,0,2,True,0,6.0,6.0,3.0,0.11210317460317461,0.037273242630385485,False
116,1001,1,63,0,2,True,0,5.0,5.0,3.0,0.0939625850340136,0.07511337868480726,False
117,1004,4,120,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
118,1003,3,133,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
119,1009,9,108,0,3,True,0,6.0,6.0,3.0,0.11295351473922903,0.03755668934240363,False
120,1012,12,202,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
121,1008,8,173,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
122,1005,5,227,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
123,1010,10,157,0,2,True,0,5.0,5.0,2.0,0.07497165532879818,0.037698412698412696,False
124,1007,7,69,0,3,True,0,6.0,6.0,3.0,0.11238662131519274,0.037273242630385485,False
125,1008,8,199,0,3,True,0,6.0,6.0,3.0,0.11238662131519274,0.037698412698412696,False
126,1009,9,66,0,2,True,0,6.0,6.0,3.0,0.11238662131519274,0.03755668934240363,False
127,1003,3,52,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
128,1008,8,163,0,2,True,0,5.0,5.0,3.0,0.07482993197278912,0.037273242630385485,False
129,1002,2,148,0,3,True,0,6.0,6.0,3.0,0.11210317460317461,0.037273242630385485,False
130,1004,4,124,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
131,1004,4,85,0,3,True,0,6.0,6.0,3.0,0.11267006802721088,0.03755668934240363,False
132,1007,7,189,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
133,1012,12,59,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
134,1005,5,238,0,3,True,0,4.5,4.5,3.0,0.07497165532879818,0.05612244897959184,False
135,1007,7,222,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
136,1012,12,116,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
137,1000,0,72,0,2,True,0,5.0,5.0,3.0,0.11267006802721088,0.07497165532879818,False
138,1011,11,65,0,2,True,0,1.5,1.5,1.5,0.03713151927437642,0.03713151927437642,False
139,1003,3,212,0,3,True,0,6.0,6.0,3.0,0.11224489795918367,0.07468820861678005,False
140,1008,8,151,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
141,1007,7,38,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
142,1011,11,186,0,2,True,1,0.0,0.0,0.0,0.0,0.0,True
143,1007,7,226,0,2,True,0,6.0,6.0,3.0,0.11210317460317461,0.07454648526077097,False
144,1004,4,106,0,3,True,1,0.0,0.0,0.0,0.0,0.0,True
