i,valid_fac_cf,dplayer_y_fac_cf,pix_meanabs_fac_cf,token_hamming_fac_cf,collision_fac_cf,prequant_latent_dist_fac_cf,token_hamming_fac_other,collision_fac_other,cur_tokens,fac_tokens,cf_tokens
18,True,0.0,0.0,0,True,0.0,0,True,11|62|11|11,58|58|58|58,58|58|58|58
19,True,6.0,0.0939625850340136,3,False,5.648569583892822,4,False,50|50|50|50,5|58|5|5,58|58|58|58
20,True,0.0,0.0,0,True,0.0,0,True,60|60|60|60,17|15|15|17,17|15|15|17
21,True,0.0,0.0,0,True,0.0,0,True,29|29|29|29,63|63|63|63,63|63|63|63
22,True,0.0,0.0,0,True,0.0,0,True,18|50|18|18,57|57|57|57,57|57|57|57
23,True,6.0,0.0939625850340136,3,False,5.619929313659668,4,False,50|50|50|50,58|58|58|58,5|58|5|5
24,True,0.0,0.0,0,True,0.0,0,True,19|19|19|19,19|19|19|19,19|19|19|19
25,True,6.0,0.11267006802721088,4,False,12.254688262939453,4,False,37|37|37|37,37|37|37|37,63|63|63|63
26,True,6.0,0.11210317460317461,4,False,9.785415649414062,4,False,27|27|27|27,1|1|1|1,27|27|27|27
27,True,5.0,0.07511337868480726,1,False,1.6149811744689941,1,False,18|18|18|18,56|56|56|56,56|18|56|56
28,True,6.0,0.11267006802721088,4,False,14.28523063659668,4,False,26|26|26|26,63|63|63|63,26|9|9|26
29,True,6.0,0.11210317460317461,4,False,11.009161949157715,0,True,39|52|39|39,12|12|12|12,39|39|39|39
30,True,0.0,0.0,0,True,0.0,0,True,27|27|27|27,27|27|27|27,27|27|27|27
31,True,0.0,0.0,0,True,0.0,0,True,27|27|27|27,63|63|63|63,63|63|63|63
32,True,6.0,0.11267006802721088,4,False,9.82458209991455,2,False,51|59|51|51,42|61|61|42,51|59|51|51
33,True,0.0,0.0,0,True,0.0,0,True,29|29|29|29,1|29|1|1,1|29|1|1
34,True,0.0,0.0,0,True,0.0,0,True,55|55|55|55,55|55|55|55,55|55|55|55
35,True,6.0,0.11210317460317461,4,False,9.430984497070312,4,False,10|10|10|10,10|10|10|10,35|35|35|35
36,True,6.0,0.11224489795918367,4,False,11.60091495513916,4,False,17|17|17|17,61|61|61|61,17|17|17|17
37,True,0.0,0.0,0,True,0.0,0,True,42|38|51|42,51|51|51|51,51|51|51|51
38,True,6.0,0.11238662131519274,4,False,9.20098876953125,4,False,63|63|63|63,13|13|13|13,40|40|40|40
39,True,0.0,0.0,0,True,0.0,0,True,15|15|15|15,44|44|44|44,44|44|44|44
40,True,6.0,0.11295351473922903,3,False,8.60339069366455,3,False,42|51|51|42,42|38|51|42,51|52|51|51
41,True,6.0,0.11238662131519274,4,False,8.683524131774902,4,False,39|52|39|39,12|12|12|12,39|52|39|39
42,True,3.0,0.055980725623582764,4,False,9.193598747253418,0,True,58|58|58|58,58|58|58|58,62|62|62|62
43,True,0.0,0.0,0,True,0.0,0,True,57|57|57|57,3|36|3|3,3|36|3|3
44,True,6.0,0.11238662131519274,4,False,8.027183532714844,4,False,17|17|17|17,21|21|21|21,17|46|46|17
45,True,6.0,0.11295351473922903,3,False,7.204225540161133,3,False,51|35|11|51,42|51|51|42,51|25|51|51
46,True,0.0,0.0,0,True,0.0,0,True,33|14|33|33,33|33|33|33,33|33|33|33
47,True,6.0,0.11238662131519274,4,False,10.932308197021484,4,False,51|59|51|51,43|31|31|43,51|51|51|51
48,True,5.0,0.11267006802721088,4,False,15.584672927856445,4,False,50|50|50|50,54|54|54|54,5|58|5|5
49,True,5.0,0.07482993197278912,4,False,13.17227554321289,0,True,54|54|54|54,54|54|54|54,37|50|37|37
50,True,0.0,0.0,0,True,0.0,0,True,24|61|61|24,51|51|51|51,51|51|51|51
51,True,6.0,0.11281179138321995,4,False,8.476554870605469,4,False,18|50|18|18,49|49|49|49,57|57|57|57
52,True,0.0,0.0,0,True,0.0,0,True,11|55|11|11,58|58|58|58,58|58|58|58
53,True,0.0,0.0,0,True,0.0,0,True,49|49|49|49,3|3|3|3,3|3|3|3
54,True,0.0,0.0,0,True,0.0,0,True,14|14|14|14,47|47|47|47,47|47|47|47
55,True,0.0,0.0,0,True,0.0,0,True,51|59|51|51,51|51|51|51,51|51|51|51
